Date,Forecast Price,Lower 95% CI,Upper 95% CI
2025-09-03,640.76,627.09,654.73
2025-09-04,640.51,622.09,659.48
2025-09-05,640.64,618.15,663.95
2025-09-08,640.57,614.83,667.4
2025-09-09,640.61,611.92,670.64
2025-09-10,640.59,609.29,673.5
2025-09-11,640.6,606.89,676.18
2025-09-12,640.6,604.65,678.67
2025-09-15,640.6,602.56,681.03
2025-09-16,640.6,600.59,683.27
2025-09-17,640.6,598.72,685.41
2025-09-18,640.6,596.93,687.45
2025-09-19,640.6,595.23,689.42
2025-09-22,640.6,593.59,691.33
2025-09-23,640.6,592.01,693.17
2025-09-24,640.6,590.49,694.95
2025-09-25,640.6,589.02,696.69
2025-09-26,640.6,587.6,698.37
2025-09-29,640.6,586.22,700.02
2025-09-30,640.6,584.87,701.63
2025-10-01,640.6,583.57,703.2
2025-10-02,640.6,582.29,704.74
2025-10-03,640.6,581.05,706.25
2025-10-06,640.6,579.84,707.72
2025-10-07,640.6,578.65,709.17
2025-10-08,640.6,577.49,710.6
2025-10-09,640.6,576.35,712.0
2025-10-10,640.6,575.24,713.38
2025-10-13,640.6,574.15,714.73
2025-10-14,640.6,573.08,716.07
2025-10-15,640.6,572.03,717.38
2025-10-16,640.6,571.0,718.68
2025-10-17,640.6,569.98,719.96
2025-10-20,640.6,568.98,721.22
2025-10-21,640.6,568.0,722.47
2025-10-22,640.6,567.04,723.7
2025-10-23,640.6,566.08,724.92
2025-10-24,640.6,565.15,726.12
2025-10-27,640.6,564.23,727.31
2025-10-28,640.6,563.32,728.48
2025-10-29,640.6,562.42,729.64
2025-10-30,640.6,561.53,730.79
2025-10-31,640.6,560.66,731.93
2025-11-03,640.6,559.8,733.06
2025-11-04,640.6,558.95,734.17
2025-11-05,640.6,558.11,735.28
2025-11-06,640.6,557.28,736.37
2025-11-07,640.6,556.46,737.45
2025-11-10,640.6,555.65,738.53
2025-11-11,640.6,554.85,739.6
2025-11-12,640.6,554.06,740.65
2025-11-13,640.6,553.28,741.7
2025-11-14,640.6,552.5,742.74
2025-11-17,640.6,551.74,743.77
2025-11-18,640.6,550.98,744.79
2025-11-19,640.6,550.23,745.81
2025-11-20,640.6,549.49,746.81
2025-11-21,640.6,548.75,747.81
2025-11-24,640.6,548.02,748.81
2025-11-25,640.6,547.3,749.79
2025-11-26,640.6,546.59,750.77
2025-11-27,640.6,545.88,751.74
2025-11-28,640.6,545.18,752.71
2025-12-01,640.6,544.49,753.67
2025-12-02,640.6,543.8,754.62
2025-12-03,640.6,543.12,755.57
2025-12-04,640.6,542.45,756.51
2025-12-05,640.6,541.78,757.44
2025-12-08,640.6,541.11,758.37
2025-12-09,640.6,540.45,759.29
2025-12-10,640.6,539.8,760.21
2025-12-11,640.6,539.15,761.13
2025-12-12,640.6,538.51,762.03
2025-12-15,640.6,537.88,762.94
2025-12-16,640.6,537.24,763.83
2025-12-17,640.6,536.62,764.73
2025-12-18,640.6,535.99,765.61
2025-12-19,640.6,535.38,766.5
2025-12-22,640.6,534.76,767.37
2025-12-23,640.6,534.16,768.25
2025-12-24,640.6,533.55,769.12
2025-12-25,640.6,532.95,769.98
2025-12-26,640.6,532.36,770.84
2025-12-29,640.6,531.77,771.7
2025-12-30,640.6,531.18,772.55
2025-12-31,640.6,530.6,773.4
2026-01-01,640.6,530.02,774.24
2026-01-02,640.6,529.44,775.08
2026-01-05,640.6,528.87,775.92
2026-01-06,640.6,528.31,776.75
2026-01-07,640.6,527.74,777.58
2026-01-08,640.6,527.18,778.41
2026-01-09,640.6,526.63,779.23
2026-01-12,640.6,526.08,780.05
2026-01-13,640.6,525.53,780.86
2026-01-14,640.6,524.98,781.67
2026-01-15,640.6,524.44,782.48
2026-01-16,640.6,523.9,783.29
2026-01-19,640.6,523.36,784.09
2026-01-20,640.6,522.83,784.89
